Name,AI-Driven,Category,Champion,Description,URL
Density,No,PropTech,Yes,"Save costs with workplaces that perform better. How we work has changed completely. Unlock workplace insights to create better experiences and optimize real estate spend. 
Measure performance. Understand ROI. Make better decisions. https://www.density.io/portfolio-performance. Unlock the ROI of your real estate portfolio with the right data. https://www.density.io/workplace-performance. Connect the dots between your workforce and your workplace.",https://www.density.io/
Pika,Yes,Design Creation,Yes,Turns your (also AI-generated) image into a video.,https://www.pika.art/
Slate AI,Yes,Platform,Yes,Digital virtual assistant designed to take the guesswork out of construction decisions and help you deliver dramatically better outcomes.,https://www.slate.ai/
Outline AI,Yes,Design Development,Yes,"World's firstand most advanced AI designing hotels and hospitality buildings.
OutlineAI will help you analyze and realize maximum value for your real estate in hours instead of weeks. Our artificial intelligence outperforms human architects in 92% of cases. By generating up to 8 building layouts per second and assessing thousands of possible building designs, OutlineAI delivers the most optimized layouts in a fraction of the time needed by the traditional approach. Our algorithms empower architects, investors, hoteliers, and real estate owners to maximize property revenue and minimize construction costs.",https://www.outlineai.com/
Slideoo,Yes,Assistant,No,"Slideoo is a SaaS platform that allows users to generate unique, professional presentations using AI in 1 - 2 minutes from long text, pdf, and website URLs. Our platform is designed to foster seamless collaboration, teamwork and unleash the collective brilliance of our users.",https://slideoo.ai/
OpenDefinery,No,Data Analysis,Yes,"What is OpenDefinery?

Rather than building yet another set of decoupled Shared Parameters, OpenDefinery enables you to build definitions based on existing parameters. Our platform facilitates the process of reusing shared parameters that already exist throughout the industry, allowing teams to finally produce connected Revit data.
By adopting the same Shared Parameter GUIDs as your partners and clients, you develop a standard that is compatible with theirs.
A single set of parameters across a project, firm, program, or even the entire industry, enables teams to finally create a single data model across Revit projects.",https://hello.opendefinery.com/early-adopters
Doxel,Yes,Construction,No,"Automated construction progress tracking. Powerful analytics and easy tools to track schedule, validate quantities installed, and mitigate risks. Construction's only complete tracking solution. Doxel tracks all visible trades and over 80+ stages of construction, capturing even the smallest of details that can cause delays or trade stacking.",https://doxel.ai/
Tracecost,No,Construction,No,"Make your project simpler, faster & more productive. Delivering a 360 solution that enables you to construct smarter. Cost & Productivity Reporting, Quality & Safety Management, Documentation & Enhanced Collaboration.",https://www.tracecost.com/
CityBldr,Yes,PropTech,Yes,CityBldr is Bloomberg for real estate. The company's flagship enterprise product provides information to property owners to help them better understand their property values and sell for a premium to market valuation.,https://www.citybldr.com/
Copy.ai,Yes,Assistant,No,"The fastest way to get work done with Generative AI. Built to make you efficient. Meet your brainstorming buddy, blank page remover, research assistant, and expert copywriter: Chat by Copy.ai. Use our generative AI platform to work faster, smarter, and anything but harder. Whatever you need, just ask.",https://www.copy.ai/
Reduzer,No,Design Specification,Yes,"Easily calculate the carbon footprint of your construction project. Reduce emissions, document, and certify. All automated. Reduzer helps developers design and build buildings and infrastructure while keeping environmental impacts organized, and help you reduce impacts. All environmental data, goals, and certifications, in an easy-to use collaborative workspace. Developed at the Norwegian University of Science and Technology.",https://reduzer.com/home
